kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
1025986|5775.33|190.62|4.442|0.313|0.138|0.185|0.851582159724|0.0142195794783|0.0140718479044
1028018|5783.57|48.2|4.284|0.079|0.168|0.046|1.10159976218|0.0266800292641|0.0258956095787
1160891|6812.27|128.61|4.09|0.211|-0.127|0.125|12.4977763519|0.599680326407|0.565121835365
1161620|5861.74|117.54|4.437|0.193|0.093|0.114|1.01594015116|0.0275407177079|0.0267661091303
1162051|5667.02|20.98|4.514|0.034|-0.067|0.019|0.932385721964|0.0209241379499|0.0204718620678
1162715|5707.88|31.89|4.563|0.053|0.082|0.03|0.937432605008|0.024952885307999998|0.024230406153199997
1163579|5732.15|38.03|4.493|0.062|-0.033|0.036|1.56575660802|0.0408311200198|0.0397598774323
1292666|5611.14|27.91|4.385|0.046|0.356|0.026|1.32612170645|0.038180379969099995|0.03713793322969999
1293671|5169.98|34.77|3.896|0.057|0.189|0.033|4.27764189709|0.191778669008|0.18240010615200003
1295195|4869.64|59.53|4.644|0.098|0.203|0.057|0.314955377907|0.00725666878108|0.00709475600431
1295597|5918.96|21.24|4.403|0.035|-0.105|0.02|1.29792232823|0.0339818037349|0.0331552206531
1429893|4909.08|68.45|4.703|0.113|0.112|0.066|0.300175100979|0.0072266014983|0.00706973589325
1432469|5571.98|32.19|4.428|0.053|0.208|0.03|0.72365517725|0.017640293225200002|0.017207714795599998
1434259|6422.48|28.24|4.104|0.047|0.107|0.027|7.37279316827|0.356250465832|0.33723024154799996
1434277|5788.25|29.98|4.512|0.049|0.134|0.028|0.916198274477|0.0212840221441|0.020846517610400003
1434708|5368.48|42.12|4.554|0.07|0.29|0.04|0.559971850897|0.014040218242899999|0.0136831960839
1435272|6260.13|113.67|4.124|0.187|0.204|0.11|3.9799680674099998|0.177825667824|0.16908991991500003
1570150|6223.29|27.45|4.36|0.045|0.011|0.026|1.6623357187099999|0.053219924592699995|0.051586646146
1570349|5854.38|92.35|4.18|0.152|-0.098|0.089|1.85207211122|0.08593621974860001|0.08171337670210001
1570915|4064.25|74.81|4.579|0.123|-0.223|0.072|0.142414821673|0.0144756659793|0.0132691814863
1572558|6095.17|34.01|4.397|0.056|0.016|0.032|1.47254202201|0.0498528809599|0.047980826293900006
1572895|5567.15|23.66|4.243|0.039|0.178|0.022|1.33308030448|0.0296897754218|0.028890540062799997
1575580|5835.59|21.62|4.448|0.036|0.07|0.02|1.06593031156|0.0276088099212|0.0268961167821
1718354|6751.66|46.74|4.139|0.077|-0.267|0.045|6.74365241846|0.40473189979|0.377708254356
1718401|6276.16|18.49|4.304|0.03|-0.053|0.017|1.7366983633700002|0.051669275773200005|0.050190504866800004
1718520|5903.81|65.38|4.082|0.108|0.141|0.063|2.9432376753900003|0.106101542884|0.102256531229
1718828|6425.67|18.65|4.17|0.031|-0.357|0.017|3.27052518105|0.0780826555019|0.07588207331130001
1719974|6104.61|15.09|4.329|0.023|0.106|0.013|3.2624555838700005|0.13850446334799998|0.131919080621
1721614|6062.77|16.41|4.127|0.027|-0.392|0.015|2.67449529113|0.103062186896|0.100652431699
1724975|5364.98|26.19|4.551|0.043|0.107|0.023|0.85325596975|0.018678136559|0.018373692621299998
1864124|6204.6|15.41|4.1|0.024|0.101|0.013|3.95704116991|0.11527471657600001|0.112040980155
1865136|6143.4|13.74|3.968|0.022|0.085|0.012|5.7262370032200005|0.21467943383699997|0.206234224505
1865305|6681.05|26.9|4.21|0.044|0.088|0.025|5.605806557799999|0.265672246232|0.251766428459
1867120|5728.61|24.56|4.216|0.041|-0.554|0.023|1.00307498153|0.030673841458200003|0.029571637454499998
1867630|6987.5|14.41|3.993|0.024|-0.023|0.013|7.93513664014|0.429432894467|0.40470819767
1869183|6430.27|25.62|4.1|0.042|0.205|0.024|6.08581374475|0.318516301447|0.301204520775
1869607|6167.66|29.47|4.109|0.049|-0.285|0.028|5.64921177678|0.31231282223900003|0.29308655663100003
1871176|6476.52|65.07|4.169|0.107|0.088|0.062|6.19406394351|0.361511463381|0.33855106729699996
1874365|5897.62|38.85|4.159|0.064|0.232|0.037|1.63230905713|0.119009653869|0.108771821828
1995845|5703.28|121.02|4.072|0.199|-0.18|0.117|1.98481041398|0.15891739423100001|0.144678700022
2010152|5634.51|29.02|4.417|0.048|-0.301|0.027|0.9907294682179999|0.021587743585599995|0.021088514793099998
2012565|6422.63|56.74|4.191|0.093|-0.123|0.054|2.94370599185|0.091725082008|0.0885336205686
